jimmidyson,minishift,NULL,True,40699930
amar-laksh,brew_sudo,NULL,True,75485790
Screenly,screenly-ose,NULL,True,66540366
gorilla,schema,NULL,True,1905203
jsbin,jsbin,NULL,True,7687582
s0ph1e,node-css-url-parser,NULL,True,19234066
GoogleCloudPlatform,professional-services,NULL,True,65194359
DPUkyle,cucumber-jvm,48764,True,42858127
Somoaudience,Prebid.js,22050458,True,77972894
JamesShaeffer,QGIS,5389187,True,62781313
EricFromCanada,brew,33135287,True,57908727
bfontaine,homebrew-command-not-found,NULL,True,16682597
McJty,RFTools,NULL,True,11078699
gorkalaucirica,Sylius,174642,True,7244420
AvyanConsultingCorp,azure-quickstart-templates,19189656,True,43741320
Rosiak,librenms,6103078,True,16314295
majorleaguesoccer,sequelize,2989453,True,61013652
phusion,homebrew-core,32902832,True,35883415
ESS-LLP,frappe,7975648,True,34053056
ruwany,carbon-device-mgt-plugins,16105183,True,45752743
kobiso,kobiso.github.io,NULL,False,74344953
ssbc,nicedate,NULL,True,14552383
georgeluong,georgeluong.github.io,NULL,True,70330481
jzaefferer,jquery-validation,NULL,True,2727
mfariacastro,mfariacastro.github.io,NULL,True,75352382
PlagueHO,xNetworking,18842681,True,25101010
kesha-antonov,react-native,54716379,True,63639929
yhirano55,rails,1334,True,31859188
niosus,EasyClangComplete,NULL,True,35307048
igwejk,mocha,12752196,True,51097948
denzelsN,pinpoint,14897549,True,17615466
storybooks,storybook,NULL,True,62379381
Floato,electron,18904813,True,30487725
LinioIT,common,NULL,True,17543670
PlagueHO,xComputerManagement,18842666,True,33725824
edporras,homebrew-core,32902832,True,37463633
geethkokila,carbon-device-mgt,16105165,True,51384777
PowerShell,xSCSMA,NULL,True,18842689
mainio,decidim,49806214,True,58491428
meek0,mica2,14767808,False,34874744
CraZySacX,atom,9626183,True,30689840
PowerShell,xSystemSecurity,NULL,True,18842701
coliff,bootstrap-ie8,NULL,True,24344419
jshjohnson,Choices,NULL,True,33557403
typo3-themes,theme_bootstrap_appstrap,NULL,True,23579895
feathersjs,feathers-rx,NULL,True,34210842
kunickiaj,homebrew-core,32902832,True,42192613
andreipitis,ASPVideoPlayer,NULL,True,34102178
videni,Sylius,174642,True,19603369
DemonWav,IntelliJBukkitSupport,NULL,True,26129218
MCKLMT,azure-quickstart-templates,19189656,True,44890694
aknuds1,bankai,30208385,True,46709611
getantibody,antibody,NULL,True,30744970
stgraber,homebrew-core,32902832,True,60296240
athaynes,AuditPolicyDsc,NULL,True,42432961
gocraft,dbr,NULL,True,9814167
dragosprotung,Sylius,174642,True,33937840
jekyll-fr,jekyll-fr.github.io,NULL,True,32604942
mattstratton,bowie,NULL,True,76714358
PowerShell,xActiveDirectory,NULL,True,18535202
bpasero,electron,18904813,True,21196785
PowerShell,xExchange,NULL,True,18842675
jdubois,homebrew-core,32902832,True,65925382
mahori,homebrew-core,32902832,True,39324797
AlienFlightINAV,inav,30387321,True,56889516
kamipo,rails,1334,True,6512881
Alexsey,sequelize,2989453,True,55916371
lbartoletti,QGIS,5389187,True,20934759
Brille24,Sylius,174642,True,77185415
DataDog,integrations-extras,NULL,True,32330567
LanikSJ,awscli-aliases,51987400,True,57347327
eruizdechavez,grunt-string-replace,NULL,True,29173839
spotify,docker-gc,NULL,True,10481819
McJty,compatlayer,NULL,True,50860352
cleanflight,cleanflight,NULL,True,12190410
moonlight-stream,moonlight-ios,NULL,True,19102364
ethersphere,go-ethereum,7115486,True,8599832
yacir,YBSlantedCollectionViewLayout,NULL,True,32888480
Tatermen,librenms,6103078,True,29019311
rasika90,product-iot-server,27402847,True,27777653
localheinz,test-util,NULL,True,73486827
VdustR,vue-material,51321031,True,70057870
andrewleverette,atom,9626183,False,61009741
leothehuman,cleanflight,12190410,True,23094842
hypothesis,via,NULL,True,14179520
PowerShell,xAdcsDeployment,NULL,True,18841988
toastdriven,pysolr,NULL,True,69454
starknx,rails,1334,True,72941738
GawainLynch,bolt,3213204,False,7443729
McJty,DeepResonance,NULL,True,22045127
fcrespo82,atom-markdown-table-formatter,NULL,True,12220252
Arcanemagus,atom,9626183,True,27541698
geogolem,Radarr,54509469,True,56202251
ubuntu,conjure-up,NULL,True,36764281
j-bennet,homebrew-core,32902832,True,51345427
FTBZ,librenms,6103078,True,45399190
lildude,phpZenfolio,NULL,True,1571803
DomT4,homebrew-core,32902832,True,34444383
react-native-sensors,react-native-sensors,NULL,True,53603697
mvitz,homebrew-core,32902832,True,62883989
rpottsoh,xpascal,47429306,True,47473749
pchaigno,licensee,11435736,True,22085774
nelson6e65,php_nml,NULL,True,15109304
pmviva,mention_system,NULL,True,12345305
vcidst,vcidst.github.io,NULL,True,10821613
amyrebecca,Panoptes-Front-End,10009967,True,29114783
jrajahalme,envoy,45769443,True,66836304
michel-kraemer,bson4jackson,NULL,True,36010
Adikteev,Prebid.js,22050458,True,64592831
konqui,brew,33135287,True,35135313
LIISim,liisim.github.io,NULL,True,74585595
blacktop,go-malice,NULL,True,30105679
gorilla,csrf,NULL,True,22050176
browniebroke,django-tinymce4-widget,32752113,True,41601116
cesarferreira,drone,NULL,True,70700522
ShreyasSinha,phpmyadmin,24444,True,54587689
instagrambot,instabot,NULL,True,58385775
rimusz,helm-charts,NULL,True,31942763
betesh,rails,1334,True,996666
rafaelfranca,omg-rails,1334,True,10364184
tkerola,chainer,20907289,True,56142587
Jasig,inspektr,29165,True,20593959
bazzite,nativescript-vibrate,NULL,True,65378629
gorilla,handlers,NULL,True,2472535
ssbc,examples,NULL,True,28544408
mingaldrichgan,gatsby,21426700,True,72844365
AlienWiiBF,betaflight,28138276,True,31453248
auth0-extensions,auth0-source-control-extension-tools,NULL,True,45167438
feathersjs,feathers-memory,NULL,True,9140824
ESS-LLP,erpnext,7976200,True,33745715
anish,buildbot,23052,True,11688810
anarchicknight,nativescript-vibrate,NULL,True,18656563
AirLoft,minimal-mistakes,3828093,True,72269542
iamxiaoma,Framework7,8160874,True,28546914
jainishshah17,charts,33846255,True,48709976
goern,mattermost-openshift,NULL,True,34526624
ScriptonBasestar-Lib,sb-tool-jvm,NULL,True,73820208
SilentChaos512,SilentGems,NULL,True,8470004
SoneeJohn,WWDC,18997285,True,38884574
covers1624,MinecraftForge,1842,True,32945077
atom,atom,NULL,True,9626183
SilentChaos512,ScalingHealth,NULL,True,41967651
exponentjs,react-native,17991525,True,20634139
klen,python-mode,NULL,True,4742
stevenschobert,instafeed.js,NULL,True,1412374
adityahase,frappe,7975648,True,70280759
the-Hull,page,3828093,True,53467318
IntellectualCrafters,PlotSquared,NULL,True,12931754
ssbc,marked,24874352,True,24874348
PlagueHO,xAdcsDeployment,18841988,True,25884580
feathersjs,feathers-rethinkdb,NULL,True,28294365
vincentriemer,io-808,NULL,True,38880792
palxex,brew,33135287,True,50949191
ssbc,patchbay,NULL,True,51459647
chainer,chainer,NULL,True,66121911
dudok,dudok.github.io,NULL,True,78567345
sorrel,minimal-mistakes,3828093,True,58005614
hvy,chainer,20907289,True,33378972
raymondnijssen,QGIS,5389187,True,7576715
MysteriumNetwork,node,NULL,True,55714504
Khaledgarbaya,gatsby,21426700,True,67905803
dsworkshop,WDS2018,11667844,True,78417057
ilovezfs,brew,33135287,True,34433291
spike-lab,spike-lab.github.io,NULL,True,77297099
gangodu,homebrew-core,32902832,True,45930024
exercism,xperl5,NULL,True,8269935
cdlewis,react-native,17991525,True,38991411
nnadeau,pybotics,NULL,True,44441986
node-serialport,node-serialport,NULL,True,78573334
tomarch,librenms,6103078,True,75588414
checkr,codeflow,NULL,True,62376899
bilson,betaflight-configurator,38830614,True,40675132
PowerShell,xCredSSP,NULL,True,18842667
ssbc,secure-scuttlebutt,NULL,True,14000949
nwautomator,librenms,6116229,True,18781657
rodrigc,buildbot,23052,True,44240943
wolfthefallen,king-phisher,7230307,True,22539338
FabioRosado,opsdroid,42171106,True,73758539
ghtmtt,QGIS,5389187,True,6502577
kura,hauntr,NULL,True,10198057
ZoneMinder,ZoneMinder,NULL,True,3377196
ngpestelos,rails,1334,True,5727557
knithinc,azure-quickstart-templates,19189656,True,27834042
Mozan,Sylius,174642,True,31427030
tduehr,cas,9459,True,24993603
WoLpH,numpy-stl,NULL,True,12658294
raphael,goa,NULL,True,22250159
KevinKelley,KevinKelley.github.io,NULL,True,6660562
apache,incubator-airflow,NULL,True,34870181
pathawks,jekyll-commonmark,NULL,True,30140624
aren55555,homebrew-core,32902832,True,34996788
lem9,weblate,54581,True,387159
lchrusciel,Sylius,174642,True,14839963
kura,pelican_vimeo,NULL,True,4983402
exercism,xlua,NULL,True,9999951
nozzle,react-static,NULL,True,75898599
serverspec,serverspec,NULL,True,4290149
matthew-dean,less.js,4234273,True,7214032
SebastianM,angular-google-maps,NULL,True,61912688
clostra,dcdn,NULL,True,57636692
niboshi,chainer,20907289,True,56357040
madhawap,carbon-device-mgt,16105165,True,36735466
request,request,NULL,True,12911997
