A;owner;project_name;days_until_stale;days_until_close;stale_label
9;timedreamer;timedreamer.github.io; 30; 7;
4;timedreamer;timedreamer.github.io; 30; 7;
9;timedreamer;timedreamer.github.io; 30; 7;
0;timedreamer;timedreamer.github.io; 30; 7;
0;timedreamer;timedreamer.github.io; 30; 7;
5;exercism;xruby;;;
9;exercism;xruby;;;
8;exercism;xruby; 60; 7; stale
7;exercism;xruby; 60; 7; stale
0;apollographql;react-apollo; 14; 7;
1;apollographql;react-apollo; 14; 7;
6;apollographql;react-apollo; 14; 7;
5;apollographql;react-apollo; 21; 14; no
6;sapcc;kubernikus; 30; 7; wontfix
4;sapcc;kubernikus; 90; 7; wontfix
4;DemonWav;MinecraftDev; 30; 7;
6;DemonWav;MinecraftDev; 30; 7;
4;DemonWav;MinecraftDev; 30; 7;
9;DemonWav;MinecraftDev; 30; 7;
8;DemonWav;MinecraftDev; 30; 14;
5;DemonWav;MinecraftDev; 30; 14;
9;DemonWav;MinecraftDev; 30; 14;
2;Catel;Catel.Fody; 60; 7; wontfix
1;Catel;Catel.Fody; 60; 7; wontfix
7;Catel;Catel.Fody; 60; 7; wontfix
8;Catel;Catel.Fody; 60; 7; wontfix
9;mezz;JustEnoughItems; 30; 7; stale
2;Samfox2;homebridge-videodoorbell; 60; 7; stale
4;mukeshsolanki;country-picker-android; 60; 7; stale
5;mukeshsolanki;country-picker-android; 60; 7; stale
7;mukeshsolanki;country-picker-android; 60; 7; stale
8;nolimits4web;Framework7; 60; 7; wontfix
9;nolimits4web;Framework7; 90; 7; wontfix
2;nolimits4web;Framework7; 90; 14; wontfix
6;nolimits4web;Framework7; 90; 14; wontfix
3;nolimits4web;Framework7; 90; 14; wontfix
5;ssbc;packet-stream; 60; 7; stale
7;angular-ui;ng-grid; 60; 30; stale
0;PowerShell;xRemoteDesktopAdmin; 14; 40; abandoned
1;PX4;Firmware; 60; 14; status
5;viddo;recent-files-fuzzy-finder; 60; 7; wontfix
6;viddo;recent-files-fuzzy-finder;;;
4;clarkbw;jest-localstorage-mock; 30; 7; stale
6;clarkbw;jest-localstorage-mock; 30; 7; stale
9;kura;ghastly;;;
9;raulriera;TextFieldEffects; 21; 3; stale
7;xCss;Valine; 60; 7; wontfix
1;paramaggarwal;react-dropzone; 60; 7; stale
1;paramaggarwal;react-dropzone; 60; 7; stale
5;paramaggarwal;react-dropzone; 60; 7; stale
1;Daltron;NotificationBanner; 60; 7; wontfix
4;strongloop;loopback-faq-user-management; 60; 14; stale
6;ropensci;screencasts; 60; 7; wontfix
3;getinsomnia;insomnia; 60; 7; Stale
1;getinsomnia;insomnia; 60; 7; Stale
3;getinsomnia;insomnia; 60; 7; Stale
6;getinsomnia;insomnia; 60; 7; Stale
4;giulio92;GLExtendedWebView; 60; 7; closed
0;giulio92;GLExtendedWebView; 60; 7; standby
0;PowerShell;xDismFeature; 14; 40; abandoned
6;fszlin;certes; 60; 7; wontfix
5;LanikSJ;ubo-filters; 60; 7; wontfix
0;dowjones;react-dropdown-tree-select; 30; 7; wontfix
5;dowjones;react-dropdown-tree-select; 15; 7; wontfix
9;dowjones;react-dropdown-tree-select; 15; 7; stale
5;dowjones;react-dropdown-tree-select; 15; 7; stale
1;PowerShell;xFirefox; 14; 40; abandoned
4;alexanderepstein;Bash-Snippets; 25; 5; Stale
