A;owner;project_name;exempt_labels
7;lesserwhirls;lesserwhirls.github.io;
3;lesserwhirls;lesserwhirls.github.io;
9;lesserwhirls;lesserwhirls.github.io;
9;lesserwhirls;lesserwhirls.github.io;
4;lesserwhirls;lesserwhirls.github.io;
0;lesserwhirls;lesserwhirls.github.io;
6;lesserwhirls;lesserwhirls.github.io;
3;SpoonX;wetland;['pinned', 'security', 'bug']
0;SpoonX;wetland;['pinned', 'security', 'bug']
4;MyEtherWallet;MyEtherWallet;['WIP', 'Greenkeeper', 'Help wanted', 'Release']
6;MyEtherWallet;MyEtherWallet;['WIP', 'Greenkeeper', 'Help wanted', 'Release']
8;MyEtherWallet;MyEtherWallet;['WIP', 'Greenkeeper', 'Help wanted', 'Release']
5;MyEtherWallet;MyEtherWallet;['WIP', 'Greenkeeper', 'Help wanted', 'Release']
8;MyEtherWallet;MyEtherWallet;['WIP', 'Greenkeeper', 'Help wanted', 'Release']
3;pages-themes;hacker;['pinned', 'security']
7;obiba;agate;['improvement', 'security']
1;obiba;agate;['pinned', 'improvement', 'security']
3;Homebrew;brew;['gsoc-outreachy', 'help wanted', 'in progress']
3;Homebrew;brew;['gsoc-outreachy', 'help wanted', 'in progress']
7;DanSnow;vue-recaptcha;['pinned', 'security']
9;phpmyadmin;shapefile;['pinned', 'security']
9;webtorrent;webtorrent;['accepted']
5;webtorrent;webtorrent;['accepted']
8;webtorrent;webtorrent;['accepted']
3;webtorrent;webtorrent;['accepted']
1;webtorrent;webtorrent;['accepted']
5;webtorrent;webtorrent;['accepted']
0;webtorrent;webtorrent;['accepted']
7;webtorrent;webtorrent;['accepted']
2;webtorrent;webtorrent;['accepted']
8;webtorrent;webtorrent;['accepted', 'bug', 'enhancement']
2;webtorrent;webtorrent;['accepted', 'bug', 'enhancement', 'meta']
2;wireload;screenly-ose;['pinned', 'security']
2;wireload;screenly-ose;['pinned', 'security', 'enhancement', 'bug', 'reproducible']
1;maliceio;malice;['pinned', 'security']
1;hakanensari;vacuum;['pinned', 'security']
7;wordpress-mobile;WordPress-iOS;
0;wordpress-mobile;WordPress-iOS;
5;wordpress-mobile;WordPress-iOS;
7;wordpress-mobile;WordPress-iOS;
0;wordpress-mobile;WordPress-iOS;
3;wordpress-mobile;WordPress-iOS;
3;CherrySquid;CherrySquid.github.io;
